Time,Type,Height,Temp
2022-09-08 18:03:52.702289,Altitude,0.0,43.9
2022-09-08 18:03:52.877318,Altitude,0.0,43.9
2022-09-08 18:03:53.069067,Altitude,0.0,43.8
2022-09-08 18:03:53.260878,Altitude,0.0,43.9
2022-09-08 18:03:53.436590,Altitude,0.0,43.7
2022-09-08 18:03:53.629375,Altitude,0.0,43.7
2022-09-08 18:03:53.820086,Altitude,0.0,43.9
2022-09-08 18:03:53.997352,Altitude,0.0,43.7
2022-09-08 18:03:54.188107,Altitude,0.0,43.6
2022-09-08 18:03:54.379191,Altitude,0.0,43.6
2022-09-08 18:03:54.574081,Altitude,0.0,43.6
2022-09-08 18:03:54.762698,Altitude,0.0,43.7
2022-09-08 18:03:54.938481,Altitude,0.0,43.5
2022-09-08 18:03:55.130440,Altitude,0.0,43.4
2022-09-08 18:03:55.321986,Altitude,0.0,43.7
2022-09-08 18:03:55.497792,Altitude,0.0,43.5
2022-09-08 18:03:55.690428,Altitude,0.0,43.5
2022-09-08 18:03:55.881245,Altitude,0.0,43.5
2022-09-08 18:03:56.073185,Altitude,0.0,43.5
2022-09-08 18:03:56.265589,Altitude,0.0,43.7
2022-09-08 18:03:56.440462,Altitude,0.0,43.5
2022-09-08 18:03:56.632349,Altitude,0.0,43.5
2022-09-08 18:03:56.823963,Altitude,0.0,43.9
2022-09-08 18:03:57.002525,Altitude,0.0,43.7
2022-09-08 18:03:57.191544,Altitude,0.0,43.6
2022-09-08 18:03:57.383180,Altitude,0.0,43.7
2022-09-08 18:03:57.575107,Altitude,0.0,43.7
2022-09-08 18:03:57.750885,Altitude,0.0,43.9
2022-09-08 18:03:57.942477,Altitude,0.0,43.9
2022-09-08 18:03:58.134288,Altitude,0.0,43.9
2022-09-08 18:03:58.310094,Altitude,5.557,44.3
2022-09-08 18:03:58.501786,Altitude,0.0,44.2
2022-09-08 18:03:58.693567,Altitude,0.0,44.1
2022-09-08 18:03:58.869410,Altitude,0.0,44.4
2022-09-08 18:03:59.077102,Altitude,0.0,44.4
2022-09-08 18:03:59.254112,Altitude,0.0,44.4
2022-09-08 18:03:59.444468,Altitude,0.0,44.6
2022-09-08 18:03:59.636442,Altitude,0.0,44.6
2022-09-08 18:03:59.812181,Altitude,0.0,44.7
2022-09-08 18:04:00.003756,Altitude,0.0,44.8
2022-09-08 18:04:00.195618,Altitude,0.0,44.9
2022-09-08 18:04:00.371443,Altitude,0.0,45.0
2022-09-08 18:04:00.579017,Altitude,0.0,45.0
2022-09-08 18:04:00.754885,Altitude,0.0,45.0
2022-09-08 18:04:00.935255,Altitude,0.0,45.3
2022-09-08 18:04:01.138344,Altitude,0.0,45.4
2022-09-08 18:04:01.314112,Altitude,0.0,45.1
2022-09-08 18:04:01.489920,Altitude,0.0,45.3
2022-09-08 18:04:01.698700,Altitude,0.0,45.5
2022-09-08 18:04:01.873909,Altitude,0.0,45.3
2022-09-08 18:04:02.089123,Altitude,0.0,45.2
2022-09-08 18:04:02.256868,Altitude,0.0,45.1
2022-09-08 18:04:02.432620,Altitude,0.0,44.9
2022-09-08 18:04:02.640393,Altitude,0.0,44.7
2022-09-08 18:04:02.816311,Altitude,0.0,44.6
2022-09-08 18:04:02.991905,Altitude,0.0,44.5
2022-09-08 18:04:03.199513,Altitude,0.0,44.4
2022-09-08 18:04:03.375458,Altitude,0.0,44.2
2022-09-08 18:04:03.567186,Altitude,0.0,44.2
2022-09-08 18:04:03.758801,Altitude,0.0,44.2
2022-09-08 18:04:03.937809,Altitude,0.0,44.1
2022-09-08 18:04:04.126868,Altitude,0.0,44.0
2022-09-08 18:04:04.318149,Altitude,0.0,44.4
2022-09-08 18:04:04.494057,Altitude,0.0,44.2
2022-09-08 18:04:04.685857,Altitude,0.0,44.0
2022-09-08 18:04:04.877426,Altitude,0.0,44.3
2022-09-08 18:04:05.069766,Altitude,0.0,44.3
2022-09-08 18:04:05.261023,Altitude,0.0,44.3
2022-09-08 18:04:05.436662,Altitude,0.0,44.5
2022-09-08 18:04:05.628824,Altitude,0.0,44.7
2022-09-08 18:04:05.822410,Altitude,5.551,44.7
2022-09-08 18:04:05.999398,Altitude,0.0,44.9
2022-09-08 18:04:06.187691,Altitude,0.0,45.0
2022-09-08 18:04:06.379765,Altitude,0.0,45.0
2022-09-08 18:04:06.571174,Altitude,0.0,45.0
2022-09-08 18:04:06.764857,Altitude,0.0,44.9
2022-09-08 18:04:06.942045,Altitude,0.0,45.1
2022-09-08 18:04:07.132982,Altitude,0.0,44.9
2022-09-08 18:04:07.322345,Altitude,0.0,44.7
2022-09-08 18:04:07.498955,Altitude,0.0,44.7
2022-09-08 18:04:07.689743,Altitude,0.0,44.9
2022-09-08 18:04:07.881424,Altitude,0.0,44.6
2022-09-08 18:04:08.073389,Altitude,0.0,44.6
2022-09-08 18:04:08.248972,Altitude,0.0,44.6
2022-09-08 18:04:08.440832,Altitude,0.0,44.3
2022-09-08 18:04:08.633688,Altitude,0.0,44.2
2022-09-08 18:04:08.824122,Altitude,0.0,44.4
2022-09-08 18:04:08.999963,Altitude,0.0,44.2
2022-09-08 18:04:09.191719,Altitude,0.0,44.0
2022-09-08 18:04:09.383570,Altitude,0.0,44.3
